evaluation_index,source_index,condition_id,sample_id,measured_ra_um
114,115,6,16,0.08340000
115,116,6,17,0.07900000
116,117,6,18,0.08580000
117,118,6,19,0.08620000
118,119,6,20,0.07820000
119,120,7,1,0.38060001
120,121,7,2,0.37700000
121,122,7,3,0.36739999
122,123,7,4,0.36440000
123,124,7,5,0.36759999
124,125,7,6,0.36300001
125,126,7,7,0.36219999
126,127,7,8,0.35620001
127,128,7,9,0.35479999
128,129,7,10,0.35280001
129,130,7,11,0.34959999
130,131,7,12,0.34959999
131,132,7,13,0.35640001
132,133,7,14,0.34599999
133,134,7,15,0.33759999
134,135,7,16,0.33660001
135,136,7,17,0.34580001
136,137,7,18,0.33700001
137,138,7,19,0.33919999
138,139,7,20,0.33559999
139,140,8,1,0.25780001
140,141,8,2,0.25920001
141,142,8,3,0.25340000
142,143,8,4,0.25260001
143,144,8,5,0.24380000
144,145,8,6,0.23340000
145,146,8,7,0.24100000
146,147,8,8,0.24660000
147,148,8,9,0.24339999
148,149,8,10,0.25940001
149,150,8,11,0.24699999
150,151,8,12,0.23019999
151,152,8,13,0.24339999
152,153,8,14,0.23520000
153,154,8,15,0.23700000
154,155,8,16,0.23980001
155,156,8,17,0.22319999
156,157,8,18,0.22960000
157,158,8,19,0.22319999
158,159,8,20,0.23160000
159,160,9,1,0.09600000
160,161,9,2,0.09980000
161,162,9,3,0.09400000
162,163,9,4,0.09540000
163,164,9,5,0.09600000
164,165,9,6,0.09660000
165,166,9,7,0.08420000
166,167,9,8,0.08500000
167,168,9,9,0.08660000
168,169,9,10,0.08240000
169,170,9,11,0.07800000
170,171,9,12,0.08100000
171,172,9,13,0.08140000
172,173,9,14,0.07460000
173,174,9,15,0.07740000
174,175,9,16,0.08260000
175,176,9,17,0.07260000
176,177,9,18,0.07740000
177,178,9,19,0.07400000
178,179,9,20,0.07560000
179,180,10,1,0.09780000
180,181,10,2,0.08900000
181,182,10,3,0.09440000
182,183,10,4,0.07600000
183,184,10,5,0.08240000
184,185,10,6,0.08500000
185,186,10,7,0.07860000
186,187,10,8,0.07360000
187,188,10,9,0.07940000
188,189,10,10,0.07760000
189,190,10,11,0.07000000
190,191,10,12,0.07600000
191,192,10,13,0.07800000
192,193,10,14,0.07440000
193,194,10,15,0.07380000
194,195,10,16,0.06600000
195,196,10,17,0.07320000
196,197,10,18,0.07260000
197,198,10,19,0.07320000
198,199,10,20,0.07420000
199,200,11,1,0.11360000
200,201,11,2,0.11220000
201,202,11,3,0.11100000
202,203,11,4,0.10580000
203,204,11,5,0.11060000
204,205,11,6,0.10260000
205,206,11,7,0.10740000
206,207,11,8,0.12200000
207,208,11,9,0.10020000
208,209,11,10,0.10840000
209,210,11,11,0.11080000
210,211,11,12,0.11680000
211,212,11,13,0.11020000
212,213,11,14,0.10720000
213,214,11,15,0.10540000
214,215,11,16,0.10300000
215,216,11,17,0.10160000
216,217,11,18,0.10600000
217,218,11,19,0.10340000
218,219,11,20,0.10820000
219,220,12,1,0.10220000
220,221,12,2,0.10660000
221,222,12,3,0.10200000
222,223,12,4,0.10220000
223,224,12,5,0.10140000
224,225,12,6,0.09280000
225,226,12,7,0.09640000
226,227,12,8,0.09680000
227,228,12,9,0.09880000
228,229,12,10,0.08900000
229,230,12,11,0.08980000
230,231,12,12,0.09280000
231,232,12,13,0.09720000
232,233,12,14,0.09400000
233,234,12,15,0.08660000
234,235,12,16,0.08640000
235,236,12,17,0.08360000
236,237,12,18,0.08000000
237,238,12,19,0.07960000
238,239,12,20,0.08380000
239,240,13,1,0.10620000
240,241,13,2,0.10300000
241,242,13,3,0.09940000
242,243,13,4,0.10040000
243,244,13,5,0.09020000
244,245,13,6,0.08900000
245,246,13,7,0.09200000
246,247,13,8,0.08880000
247,248,13,9,0.08460000
248,249,13,10,0.08400000
249,250,13,11,0.08660000
250,251,13,12,0.08860000
251,252,13,13,0.08320000
252,253,13,14,0.08360000
253,254,13,15,0.08180000
254,255,13,16,0.08680000
255,256,13,17,0.07860000
256,257,13,18,0.07820000
257,258,13,19,0.08840000
258,259,13,20,0.08580000
259,260,14,1,0.10940000
260,261,14,2,0.12120000
261,262,14,3,0.10740000
262,263,14,4,0.10860000
263,264,14,5,0.10580000
264,265,14,6,0.10400000
265,266,14,7,0.10360000
266,267,14,8,0.11300000
267,268,14,9,0.10720000
268,269,14,10,0.10240000
269,270,14,11,0.10520000
270,271,14,12,0.10600000
271,272,14,13,0.10000000
272,273,14,14,0.09900000
273,274,14,15,0.10760000
274,275,14,16,0.10300000
275,276,14,17,0.10640000
276,277,14,18,0.10820000
277,278,14,19,0.10500000
278,279,14,20,0.10460000
279,280,15,1,0.10480000
280,281,15,2,0.11620000
281,282,15,3,0.10800000
282,283,15,4,0.10360000
283,284,15,5,0.10240000
284,285,15,6,0.09920000
285,286,15,7,0.10660000
286,287,15,8,0.10200000
287,288,15,9,0.09400000
288,289,15,10,0.10720000
289,290,15,11,0.10780000
290,291,15,12,0.10080000
291,292,15,13,0.10580000
292,293,15,14,0.10580000
293,294,15,15,0.10180000
294,295,15,16,0.09820000
295,296,15,17,0.09560000
296,297,15,18,0.09460000
297,298,15,19,0.09420000
298,299,15,20,0.09420000
299,300,16,1,0.11540000
300,301,16,2,0.11160000
301,302,16,3,0.10180000
302,303,16,4,0.10940000
303,304,16,5,0.10380000
304,305,16,6,0.10520000
305,306,16,7,0.10720000
306,307,16,8,0.10440000
307,308,16,9,0.10160000
308,309,16,10,0.10660000
309,310,16,11,0.10440000
310,311,16,12,0.09800000
311,312,16,13,0.09860000
312,313,16,14,0.09220000
313,314,16,15,0.09200000
314,315,16,16,0.09360000
315,316,16,17,0.09160000
316,317,16,18,0.09160000
317,318,16,19,0.09460000
318,319,16,20,0.09160000
